Distribuidor;Ceco;Tipo de precio;Precio;Marca;Referencia;Categoria;Descripcion;Garantia;Ventajas competitivas;Otros productos;URL;
Cosostenible;BATERIAS;Precio comercial;$123.809;Greenpoint;BATERIA 12V 22 AH DZF GREENPOINT;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/1ZecDJSuVwAJtaGhfhBH5nHnLtG4GZIIy/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$198.095;Greenpoint;BATERIA 12V 32 AH DZF GREENPOINT;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/1YlOSR-Yu388lQFlz-gx-itIn_dXULWFK/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$577.150;Greenpoint;BATERIA GEL 12V 100AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/1XfIEh9PKAZtHzKIeiGimgknoWJdE9teV/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$590.001;Greenpoint;BATERIA GEL 12V 120AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/17123jquO9QCKZu2fHGtsvgP57Z6GTlKQ/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$771.937;Greenpoint;BATERIA GEL 12V 150AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/1G_1DN3iy8PDXAYfN57B4Ay6iGQEdjrRP/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$1.126.192;Greenpoint;BATERIA GEL 12V 200AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/161s8STN5Sv-kGl--kc4JQsRXxYdob-nq/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$1.443.983;Greenpoint;BATERIA GEL 12V 250AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/176JVki8cpVXGSgM9-Tum7KzJUymy1d7w/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$255.411;Greenpoint;BATERIA GEL 12V 40AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/1606snlqkva9tOppC7VwgAATS7QfiubFp/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$312.228;Greenpoint;BATERIA GEL 12V 55AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/1i59eKscc73eSd7_yU2dHbig7q7GO3syn/view?usp=sharing;
Cosostenible;BATERIAS;Precio comercial;$478.620;Greenpoint;BATERIA GEL 12V 80AH;Gel;;;#N/A;#N/A;https://drive.google.com/file/d/1WS_oHGym7x1O9tqj98QyqFzKEQ0ODgyF/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$2.244.897;Greenpoint;INVERSOR FASE DIVIDIDA GREEN POINT 6000W 48V;inversor cargador;;;#N/A;#N/A;https://drive.google.com/file/d/1L94pvM_NESyDRv_yLI46x7aFU2IyjdNJ/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$2.755.102;Greenpoint;INVERSOR FASE DIVIDIDA GREEN POINT 6000W 48V100A;inversor cargador;;;#N/A;#N/A;https://drive.google.com/file/d/1L94pvM_NESyDRv_yLI46x7aFU2IyjdNJ/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.010.200;Greenpoint;INVERSOR HIBRIDO GREEN POINT 1500W 12V;Inversor hibrido;;;#N/A;#N/A;https://drive.google.com/file/d/1Rp81Tc-DVhj3ZB9lMsHGRKoAK9FXnqhi/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.010.200;Greenpoint;INVERSOR HIBRIDO GREEN POINT 1500W 24V;Inversor hibrido;;;#N/A;#N/A;https://drive.google.com/file/d/1Rp81Tc-DVhj3ZB9lMsHGRKoAK9FXnqhi/view?usp=sharing;
